date,Closed PnL,Size USD,Num_Trades,classification,value
01-05-2023,0,477,3,Greed,63
05-12-2023,0,50005.83,9,Extreme Greed,75
14-12-2023,-18.67588518,113203.35,11,Greed,72
15-12-2023,-12.316017,10609.95,2,Greed,70
16-12-2023,0,15348.77,3,Greed,67
17-12-2023,21.78448464,116278.02,14,Greed,73
18-12-2023,0,31164.18,2,Greed,65
19-12-2023,66.70257413,91602.41,15,Greed,73
20-12-2023,9.040682333,141636.79,18,Greed,74
21-12-2023,10.963498,125233.97,49,Greed,70
22-12-2023,14.1832675,88874.28,10,Greed,74
23-12-2023,11.30282338,78438.25,13,Greed,70
24-12-2023,25.86205015,402954.94,39,Greed,71
25-12-2023,-81.69378267,59948.51,3,Greed,73
27-12-2023,-25.17461525,171411.06,28,Greed,73
28-12-2023,-42.20569026,100117.25,23,Greed,73
29-12-2023,10.17844286,569559.72,50,Greed,65
30-12-2023,6.826897077,702550.21,52,Greed,68
01-01-2024,-7.196192222,264239.53,18,Greed,65
02-01-2024,46.11641859,121348.74,17,Greed,71
03-01-2024,12.92560458,394499.36,67,Greed,70
04-01-2024,-13.520728,99792.54,5,Greed,68
05-01-2024,2.486993409,1703942.66,66,Greed,72
06-01-2024,6.162802909,298521.4,22,Greed,70
07-01-2024,-8.615270464,1048850.06,97,Greed,71
08-01-2024,-2.108394055,1522452.43,128,Greed,71
09-01-2024,-11.80499804,870051.97,70,Extreme Greed,76
10-01-2024,-7.860576902,2057479.48,193,Greed,73
11-01-2024,-7.813785762,305314.1,21,Extreme Greed,76
12-01-2024,-275.0741463,200082.27,7,Greed,71
15-01-2024,10.91811286,50636.1,14,Neutral,52
16-01-2024,-255.4634953,116427.33,9,Greed,64
17-01-2024,15.34479455,800831.03,53,Greed,60
18-01-2024,1.498547609,424631.53,46,Greed,63
19-01-2024,-8.029567396,428428.97,48,Neutral,51
20-01-2024,-1.382781792,1070090.51,106,Neutral,52
21-01-2024,24.23464964,103129.74,11,Greed,56
22-01-2024,16.18401128,337878.99,85,Greed,55
23-01-2024,-8.205438444,414518.93,45,Neutral,50
24-01-2024,-41.29932081,965084.59,68,Neutral,48
25-01-2024,-515.6048975,66566.13,6,Neutral,52
26-01-2024,18.04,11773.21,5,Neutral,49
28-01-2024,-225.2790655,18109.03,11,Neutral,54
29-01-2024,6.575169486,414208.18,74,Greed,55
30-01-2024,-3.543963082,401011.38,49,Greed,61
31-01-2024,-0.931130171,6305647.13,859,Greed,60
01-02-2024,0,2008.18,6,Greed,63
02-02-2024,10.86722555,474278.43,42,Greed,63
03-02-2024,3.987664054,603820,56,Greed,60
04-02-2024,1.360682714,203187.53,35,Greed,60
05-02-2024,-0.464641583,770198.26,72,Greed,60
06-02-2024,-0.198176385,8047153.41,1088,Greed,64
07-02-2024,16.082808,6758.73,15,Greed,62
08-02-2024,77.0756024,26051.12,10,Greed,66
11-02-2024,28.92479929,212311.82,34,Greed,71
12-02-2024,57.11761169,227247.7,16,Greed,70
13-02-2024,39.96027786,1999.99,14,Extreme Greed,79
14-02-2024,34.50990841,320839.88,111,Greed,74
15-02-2024,29.21901075,185188.04,63,Greed,72
16-02-2024,30.17455403,564896.51,182,Greed,72
17-02-2024,20.52810426,406118.07,94,Extreme Greed,76
18-02-2024,4.92396732,157048.17,97,Greed,72
19-02-2024,42.75018379,286377.2,101,Extreme Greed,75
20-02-2024,83.68279036,119419.72,39,Greed,72
21-02-2024,84.49084409,108047.52,22,Extreme Greed,78
22-02-2024,44.25119398,373033.87,88,Greed,74
23-02-2024,9.919950559,111106.14,143,Extreme Greed,76
25-02-2024,-6.1541,4480.13,5,Greed,74
26-02-2024,113.2524949,192187.14,39,Greed,72
27-02-2024,14.10336084,209362.3,63,Extreme Greed,79
28-02-2024,55.63882744,171107.13,45,Extreme Greed,82
29-02-2024,84.60342234,395666.73,116,Extreme Greed,80
01-03-2024,60.17694459,472974.7,137,Extreme Greed,80
02-03-2024,7.448406452,63197.56,31,Extreme Greed,80
03-03-2024,105.8365347,390745.68,79,Extreme Greed,83
04-03-2024,92.66591914,1577996.87,300,Extreme Greed,82
05-03-2024,109.9501447,841810.32,180,Extreme Greed,90
06-03-2024,83.10762365,327218.02,82,Extreme Greed,75
08-03-2024,63.75949606,183583.18,67,Extreme Greed,81
09-03-2024,85.03847542,658178.75,117,Extreme Greed,84
10-03-2024,59.11731429,219973.85,42,Extreme Greed,79
11-03-2024,85.43284512,176519.45,42,Extreme Greed,82
12-03-2024,379.89575,103040.85,8,Extreme Greed,81
13-03-2024,0,6000.8,7,Extreme Greed,81
14-03-2024,192.5481018,205933.18,18,Extreme Greed,88
15-03-2024,100.5889299,351894.41,62,Extreme Greed,83
16-03-2024,28.57248,37223.66,8,Extreme Greed,81
17-03-2024,21.88234587,99506.95,23,Extreme Greed,79
18-03-2024,76.68198421,90458.08,19,Extreme Greed,77
19-03-2024,27.86658221,219884.84,24,Extreme Greed,79
20-03-2024,93.08890723,215705.85,69,Greed,74
21-03-2024,83.41100268,117895.57,28,Extreme Greed,78
24-03-2024,68.26413037,92592.21,19,Greed,74
25-03-2024,186.1309183,57116.32,7,Extreme Greed,75
26-03-2024,27.2534457,198565.19,118,Extreme Greed,81
27-03-2024,3.958187895,99864.79,38,Extreme Greed,83
28-03-2024,17.52700062,35323.72,13,Extreme Greed,80
29-03-2024,58.87316027,86914.37,15,Extreme Greed,79
30-03-2024,24.45722533,101103.92,45,Extreme Greed,75
31-03-2024,70.21431885,39912.96,13,Extreme Greed,75
01-04-2024,32.57095332,339470.47,77,Extreme Greed,79
02-04-2024,21.55514176,239664.51,41,Extreme Greed,79
03-04-2024,31.6971,16887.57,4,Greed,71
04-04-2024,0,95987.73,32,Greed,70
05-04-2024,107.0648431,503791.8,100,Extreme Greed,79
06-04-2024,14.77094587,68223.67,16,Extreme Greed,75
07-04-2024,0,49988.14,23,Extreme Greed,78
08-04-2024,40.61422333,211940.64,30,Extreme Greed,76
09-04-2024,0,57063.84,3,Extreme Greed,80
10-04-2024,127.010815,351735.97,41,Extreme Greed,78
11-04-2024,24.35894775,76400.96,16,Extreme Greed,76
12-04-2024,-4.594153791,442088.59,129,Extreme Greed,79
13-04-2024,74.39833433,486411.25,89,Greed,72
14-04-2024,-337.4206778,659162.17,107,Greed,72
15-04-2024,92.05094439,291111.19,41,Greed,74
16-04-2024,52.50430257,181907.17,47,Greed,65
17-04-2024,174.3906,97562.99,14,Greed,67
19-04-2024,55.61272749,337257.92,35,Greed,66
20-04-2024,0,60733.24,22,Greed,66
22-04-2024,0,47993.61,9,Greed,73
23-04-2024,16.96266964,233054.9,66,Greed,71
24-04-2024,13.95929535,141275.24,20,Greed,72
25-04-2024,0,120241.01,74,Greed,72
26-04-2024,0,4988.29,3,Greed,70
27-04-2024,158.5736348,154264.47,27,Greed,67
28-04-2024,0,43985.6,58,Greed,65
29-04-2024,11.7096408,108699.01,45,Greed,67
30-04-2024,0,125018.75,24,Greed,67
01-05-2024,0,87025.45,14,Neutral,54
03-05-2024,147.3893624,282682.65,36,Neutral,48
04-05-2024,0,58998.75,9,Greed,67
05-05-2024,0.152666667,24068.35,6,Greed,69
06-05-2024,107.6211533,206016.43,9,Greed,71
07-05-2024,49.08542739,108717.58,18,Greed,68
08-05-2024,0.120443077,65973.57,13,Greed,64
09-05-2024,40.98556629,221966.12,28,Greed,55
10-05-2024,95.53371341,156882,22,Greed,66
11-05-2024,27.95608244,63248.95,9,Neutral,53
12-05-2024,0,55179.56,23,Greed,56
13-05-2024,76.31620925,193118.9,28,Greed,57
14-05-2024,50.02275239,145853.4,23,Greed,66
15-05-2024,26.36029394,234922.57,36,Greed,64
16-05-2024,7.94777037,162620.96,27,Greed,70
18-05-2024,140.8957864,126303.14,25,Greed,73
19-05-2024,0,29998.09,8,Greed,72
20-05-2024,-7.4818442,38124.75,10,Greed,70
21-05-2024,58.31518058,1100948.59,125,Extreme Greed,76
22-05-2024,0,44995.29,6,Extreme Greed,76
23-05-2024,1.271837935,401850.6,325,Extreme Greed,76
24-05-2024,410.974639,50811.9,2,Greed,74
25-05-2024,0.882877437,29991.13,16,Extreme Greed,76
26-05-2024,48.66774375,53976.67,16,Extreme Greed,75
27-05-2024,4.499425777,151115.72,251,Greed,74
29-05-2024,1.693853372,84268.76,164,Greed,72
30-05-2024,2.993061857,2838.09,7,Greed,73
31-05-2024,1.950624615,3636.14,13,Greed,73
01-06-2024,3.66041676,12834.62,25,Greed,72
02-06-2024,2.074268247,29464.51,93,Greed,73
03-06-2024,8.040117257,21466.86,70,Greed,73
04-06-2024,0.985121472,24243.41,53,Greed,73
05-06-2024,1.038064926,25350.77,54,Extreme Greed,75
06-06-2024,1.171680286,137557.76,234,Extreme Greed,78
07-06-2024,20.23288049,1098588.76,440,Extreme Greed,77
08-06-2024,4.453063414,97351.88,29,Greed,72
09-06-2024,0,22410.22,17,Extreme Greed,75
10-06-2024,0.589939717,46587.93,53,Greed,72
11-06-2024,35.12708789,373279.92,123,Greed,74
12-06-2024,-86.16744682,193407.96,254,Greed,72
13-06-2024,83.95895082,132577.22,79,Greed,70
14-06-2024,330.9223422,139868.66,31,Greed,74
15-06-2024,43.20459418,718350.25,78,Greed,74
16-06-2024,0,25235.08,11,Greed,71
17-06-2024,278.934273,368380.12,38,Greed,71
18-06-2024,11.3030544,263314.79,25,Greed,74
19-06-2024,80.12552367,417071.12,61,Greed,64
20-06-2024,1473.806565,207990.8,39,Greed,60
21-06-2024,9.66947755,176264.49,80,Greed,63
22-06-2024,31.53652354,169594.27,24,Neutral,53
23-06-2024,0,1792.12,5,Greed,55
24-06-2024,0,403002.8,31,Neutral,51
25-06-2024,99.37455316,103099.08,49,Fear,30
26-06-2024,58.30183586,365190.66,72,Neutral,46
27-06-2024,0,130486.95,30,Fear,40
29-06-2024,82.0043486,280095.11,75,Fear,30
30-06-2024,0,30520.69,14,Neutral,47
01-07-2024,79.15373919,362670.15,64,Neutral,53
02-07-2024,134.514062,33347.47,18,Neutral,51
03-07-2024,62.13262689,179600.66,18,Neutral,50
04-07-2024,0,430568.01,25,Fear,44
05-07-2024,0,272289.89,32,Fear,29
06-07-2024,4.53634075,2490.17,24,Fear,26
07-07-2024,6.1428942,498.75,10,Fear,29
08-07-2024,0,497.64,1,Fear,28
09-07-2024,43.26562747,2736.45,15,Fear,27
10-07-2024,213.8881233,687900.21,56,Fear,28
11-07-2024,98.77958326,169887.02,19,Fear,29
12-07-2024,74.33235021,89582.97,19,Fear,25
13-07-2024,171.3892845,139189.19,17,Fear,25
14-07-2024,0,84001.13,7,Fear,33
15-07-2024,-0.038461538,198344.85,26,Neutral,52
16-07-2024,0,144000.57,22,Greed,65
17-07-2024,5.297064037,626005.53,351,Greed,69
18-07-2024,63.39807185,649704.85,60,Greed,61
19-07-2024,93.73439626,150269.42,23,Greed,60
20-07-2024,8.643494609,244362.21,266,Greed,74
21-07-2024,-6.608743051,234307.46,448,Greed,74
22-07-2024,9.851427766,304213.8,154,Greed,70
23-07-2024,242.9467627,358526.54,370,Greed,71
24-07-2024,6.9506831,69207.93,90,Greed,69
25-07-2024,11.75305462,528555.31,78,Greed,68
26-07-2024,18.20074416,548587.65,152,Greed,68
27-07-2024,112.2916431,905199.75,57,Greed,72
28-07-2024,36.70618938,43254.68,16,Greed,71
29-07-2024,8.482165487,327199.14,39,Greed,74
30-07-2024,0,36006.47,6,Greed,67
31-07-2024,17.80676474,84506.54,43,Greed,61
01-08-2024,2.931228368,227774.53,57,Neutral,52
02-08-2024,12.41854271,396320.37,63,Greed,57
03-08-2024,12.54566757,290532.86,37,Fear,37
04-08-2024,-965.9212668,1207744.07,127,Fear,34
05-08-2024,-162.6708146,420495.4,80,Fear,26
06-08-2024,2.498299514,61478.38,107,Extreme Fear,17
07-08-2024,5.720886515,2492.77,33,Fear,29
08-08-2024,-4.523579667,16299.35,9,Extreme Fear,20
09-08-2024,125.5699394,503204.86,144,Neutral,48
10-08-2024,0,11339.29,88,Fear,40
11-08-2024,35.32402583,44230.21,24,Fear,39
12-08-2024,17.88896875,54167.32,48,Fear,25
13-08-2024,9.220913913,20797.87,23,Fear,31
14-08-2024,86.75606052,66710.03,25,Fear,30
15-08-2024,0,1522.37,12,Fear,29
16-08-2024,23.57801554,166382.84,35,Fear,27
17-08-2024,-9.6094371,30248.96,30,Fear,25
18-08-2024,20.48012587,62804.48,15,Fear,31
19-08-2024,42.46244787,100315.03,8,Fear,28
20-08-2024,16.050237,49914.8,12,Fear,30
21-08-2024,4.525523621,104990.41,145,Fear,26
23-08-2024,100.530527,63509.56,10,Fear,34
24-08-2024,0,34999.67,7,Greed,56
25-08-2024,0,21950.28,17,Neutral,54
26-08-2024,38.53948633,92611.27,6,Greed,55
27-08-2024,0,70250.16,50,Neutral,48
28-08-2024,148.1510717,71160.07,9,Fear,30
29-08-2024,0,9995.85,1,Fear,29
30-08-2024,42.744,37233.24,6,Fear,34
31-08-2024,0.320082382,107507.43,34,Fear,29
01-09-2024,11.45275775,12359.68,12,Fear,26
02-09-2024,0,30000.42,2,Fear,26
04-09-2024,31.34662153,131480.97,34,Fear,27
05-09-2024,0,0.84,1,Fear,29
06-09-2024,-26.30611345,39047.1,42,Extreme Fear,22
08-09-2024,0,0.11,1,Fear,29
09-09-2024,0,4014.43,2,Fear,26
10-09-2024,-73.24321967,2547.28,3,Fear,33
11-09-2024,0,0.54,1,Fear,37
14-09-2024,0,1014.8,11,Neutral,50
18-09-2024,-6.059895131,13633.5,145,Neutral,45
19-09-2024,0,1521.87,19,Neutral,49
20-09-2024,599.0646425,332873.38,16,Neutral,54
21-09-2024,1572.416058,165648.12,23,Neutral,54
22-09-2024,0,19999.74,3,Neutral,52
23-09-2024,167.380398,40334.29,2,Neutral,50
24-09-2024,0,7118.63,10,Neutral,54
25-09-2024,0,52754.13,9,Greed,59
26-09-2024,54.97656413,113711.93,8,Neutral,50
27-09-2024,0,126097.04,56,Greed,61
28-09-2024,0,29199.21,4,Greed,64
30-09-2024,25.57194611,214669.85,106,Greed,61
01-10-2024,0,139954.32,4,Neutral,50
02-10-2024,0,99954.34,4,Fear,42
03-10-2024,11.15286467,132935.69,9,Fear,37
04-10-2024,0,0.34,1,Fear,41
05-10-2024,155.8692403,605605.74,37,Neutral,49
06-10-2024,5.931230864,300130.56,22,Neutral,50
07-10-2024,0,219984.65,21,Neutral,50
08-10-2024,149.9040733,434584.13,36,Neutral,49
09-10-2024,28.29019429,220399.93,14,Neutral,49
10-10-2024,0,300024.34,16,Fear,39
11-10-2024,341.7433645,488904.19,26,Fear,32
12-10-2024,54.155471,159713.4,10,Neutral,49
13-10-2024,0,60002.42,10,Neutral,50
14-10-2024,382.723916,61916.02,5,Neutral,48
15-10-2024,167.1751537,81173.36,7,Greed,65
16-10-2024,19.95280691,80229.17,11,Greed,73
17-10-2024,4.012773333,140531.75,9,Greed,71
18-10-2024,55.5365235,120331.43,6,Greed,73
19-10-2024,0,99996.86,4,Greed,72
20-10-2024,4.053706219,176447.86,96,Greed,73
21-10-2024,14.24806684,324117.99,173,Greed,72
22-10-2024,0,60000.36,3,Greed,70
23-10-2024,-2.5827745,210006.07,18,Greed,71
25-10-2024,441.1954024,427883.18,30,Greed,72
26-10-2024,7078.665688,88668.86,6,,
27-10-2024,166.665577,90664.41,4,Greed,74
28-10-2024,12.86770477,121495.25,13,Greed,72
29-10-2024,15.11643162,613267.81,53,Greed,72
30-10-2024,0.36600092,11830.85,25,Extreme Greed,77
31-10-2024,25.2925794,896173.36,48,Extreme Greed,77
01-11-2024,45.23807548,260981.03,23,Extreme Greed,75
02-11-2024,0,40000,2,Greed,72
03-11-2024,0,129055.66,6,Greed,74
04-11-2024,77.76140206,451811.97,36,Greed,70
05-11-2024,67.8475928,200627.23,10,Greed,70
06-11-2024,187.8558153,123906.9,15,Greed,70
07-11-2024,39.76418704,111335.3,113,Extreme Greed,77
08-11-2024,-1.651629256,270700.44,39,Extreme Greed,75
09-11-2024,1.196615581,193384.41,86,Extreme Greed,75
10-11-2024,5.72898459,413636.7,173,Extreme Greed,78
11-11-2024,18.09552546,1570572.42,373,Extreme Greed,76
12-11-2024,20.43508418,1226354.52,171,Extreme Greed,80
13-11-2024,163.466714,515336.37,48,Extreme Greed,84
14-11-2024,41.4864475,1008361.81,110,Extreme Greed,88
15-11-2024,27.79020428,1427858.42,149,Extreme Greed,80
16-11-2024,17.64026694,303296.07,157,Extreme Greed,86
17-11-2024,4.224762129,1215987.57,209,Extreme Greed,90
18-11-2024,12.92143118,2084339.58,346,Extreme Greed,83
19-11-2024,9.699242593,628031.15,305,Extreme Greed,90
20-11-2024,7.654714358,1999514.12,550,Extreme Greed,83
21-11-2024,3.163422226,598300.62,535,Extreme Greed,82
22-11-2024,-26.66472109,1646713.62,679,Extreme Greed,94
23-11-2024,7.993200105,516245.68,363,Extreme Greed,93
24-11-2024,5.497385965,664952.28,172,Extreme Greed,80
25-11-2024,21.66172837,937410.87,255,Extreme Greed,82
26-11-2024,3.625196553,1146902.44,302,Extreme Greed,79
27-11-2024,-12.46242081,1444242.53,213,Extreme Greed,75
28-11-2024,-382.7572277,1894225.15,332,Extreme Greed,77
29-11-2024,449.9872625,794262.91,393,Extreme Greed,78
30-11-2024,100.0447547,1732193.7,373,Extreme Greed,84
01-12-2024,98.28453003,814711.82,416,Extreme Greed,81
02-12-2024,68.48001597,585243.56,270,Extreme Greed,80
03-12-2024,63.03887509,1084666.53,374,Extreme Greed,76
04-12-2024,918.1561599,769287.65,319,Extreme Greed,78
05-12-2024,156.9607862,1256750.79,456,Extreme Greed,84
06-12-2024,-229.837826,3471019.22,403,Greed,72
07-12-2024,282.5864443,451733.42,304,Extreme Greed,75
08-12-2024,38.01412723,932939.72,420,Extreme Greed,79
09-12-2024,11.70865988,983949.68,539,Extreme Greed,78
10-12-2024,24.64020691,3150424.08,1596,Extreme Greed,78
11-12-2024,261.3034842,2194098.33,1221,Greed,74
12-12-2024,310.1199767,4557189.87,1932,Extreme Greed,83
13-12-2024,27.22583269,2880824.64,1173,Extreme Greed,76
14-12-2024,135.8715783,2369561.78,1235,Extreme Greed,83
15-12-2024,57.46924884,2583269.81,1697,Extreme Greed,80
16-12-2024,158.079947,2740808.97,1055,Extreme Greed,83
17-12-2024,113.1330784,5233597.63,1941,Extreme Greed,87
18-12-2024,9.575223704,3798887.07,1429,Extreme Greed,81
19-12-2024,18.79125621,8241709.39,3339,Extreme Greed,75
20-12-2024,102.4797669,7681274.71,2488,Greed,74
21-12-2024,89.24578415,4382875.12,1681,Greed,73
22-12-2024,455.0350956,3087320.22,774,Greed,73
23-12-2024,-12.53967898,6771878.26,2347,Greed,70
24-12-2024,43.82775182,1767036.11,338,Greed,73
25-12-2024,3.637774264,347889.35,208,Greed,73
26-12-2024,86.41124781,2205242.65,697,Extreme Greed,79
27-12-2024,10.28004244,347913,260,Greed,74
28-12-2024,5.842693311,281555.01,161,Greed,72
29-12-2024,14.34859665,344628.54,201,Greed,73
30-12-2024,29.6372965,1073865.73,304,Greed,65
31-12-2024,17.79415951,877164.62,306,Greed,64
01-01-2025,-99.25068068,282582.1,96,Greed,66
02-01-2025,24.14548224,774674.84,361,Greed,70
03-01-2025,11.86709999,771208.99,508,Greed,74
04-01-2025,6.882851666,1826029.62,371,Greed,73
05-01-2025,13.33773792,451943.57,239,Greed,72
06-01-2025,10.58322058,556526.99,573,Extreme Greed,76
07-01-2025,25.27194275,1313178.1,637,Extreme Greed,78
08-01-2025,125.2330034,3177275.18,1039,Greed,70
09-01-2025,89.99220096,1020733.25,522,Greed,69
10-01-2025,-12.3527174,6547449.68,819,Neutral,50
11-01-2025,8.017952424,1658098.71,283,Greed,69
12-01-2025,9.538607646,2258459.17,602,Greed,62
13-01-2025,23.66526802,2936648.01,408,Greed,61
14-01-2025,58.43459038,876581.97,275,Greed,63
15-01-2025,55.50407603,1801599.89,267,Greed,70
16-01-2025,56.08546989,3049692.96,371,Extreme Greed,75
17-01-2025,29.43872104,1110230.46,238,Extreme Greed,75
18-01-2025,0.680849588,2711629.88,651,Extreme Greed,77
19-01-2025,56.1096358,9715215.3,1567,Extreme Greed,77
20-01-2025,66.37052409,8287327.01,1315,Extreme Greed,76
21-01-2025,20.90158381,1523729.82,530,Extreme Greed,76
22-01-2025,24.66875968,1778406.43,832,Extreme Greed,84
23-01-2025,83.13320374,3697028.66,1218,Extreme Greed,75
24-01-2025,12.13132693,1611433.45,874,Extreme Greed,75
25-01-2025,-20.45062501,1239377.7,506,Extreme Greed,75
26-01-2025,90.51766445,1201173.66,451,Greed,73
27-01-2025,53.46929546,1508028.31,773,Greed,71
28-01-2025,36.10364252,579412.17,498,Greed,72
29-01-2025,25.73737524,1897513.41,910,Greed,72
30-01-2025,21.6471147,3014397.17,1067,Greed,70
31-01-2025,35.30344171,2783411.48,1016,Extreme Greed,76
01-02-2025,50.94669561,1363746.44,634,Greed,68
02-02-2025,123.4683545,5661092.29,1319,Greed,60
03-02-2025,146.5845909,22592901.37,2380,Fear,44
04-02-2025,165.9541752,15678409.27,2512,Greed,72
05-02-2025,43.72107599,8743231.51,1297,Neutral,54
06-02-2025,19.84955944,2818508.87,1703,Neutral,49
07-02-2025,14.7309725,3460263.54,1524,Fear,44
08-02-2025,1.020353483,839734.97,575,Fear,44
09-02-2025,197.0573684,2920919.7,764,Neutral,46
10-02-2025,71.88807047,3624958.44,889,Fear,43
11-02-2025,-7.186067001,2797544.17,848,Neutral,47
12-02-2025,19.25182835,4143974.54,1031,Neutral,46
13-02-2025,20.31352864,3199852.21,1370,Neutral,50
14-02-2025,129.2209518,4007103.42,1655,Neutral,48
15-02-2025,48.32932083,1712852.95,932,Neutral,50
16-02-2025,3.479410316,806177.64,681,Neutral,54
17-02-2025,1.932596488,2031044.64,941,Neutral,51
18-02-2025,54.41806229,3371128.68,1676,Neutral,47
19-02-2025,11.01087046,3263930.24,1361,Fear,44
20-02-2025,22.86719389,4628609.29,2012,Neutral,49
21-02-2025,63.90469511,3972159.88,1873,Greed,55
22-02-2025,36.849423,3175570.2,686,Neutral,49
23-02-2025,20.49410433,1141310.74,520,Neutral,50
24-02-2025,6.850102607,11223619.59,5616,Neutral,49
25-02-2025,32.7829294,19414984.36,6246,Fear,25
26-02-2025,53.76621014,4946958.13,1176,Extreme Fear,21
27-02-2025,-41.03951406,1999898.43,890,Extreme Fear,10
28-02-2025,221.4211077,4123660.77,1019,Extreme Fear,16
01-03-2025,60.89717798,263824.13,174,Extreme Fear,20
02-03-2025,125.7787983,6460848.74,532,Fear,26
03-03-2025,415.9332201,8244590.38,1482,Fear,33
04-03-2025,75.80165137,11124247.15,2402,Extreme Fear,15
05-03-2025,162.2460036,9193654.22,1660,Extreme Fear,20
06-03-2025,21.18569153,6765324.96,760,Fear,25
07-03-2025,58.8699301,19854275.48,2552,Fear,34
08-03-2025,46.69333338,892083.51,529,Fear,28
09-03-2025,13.90538495,10419697.99,1422,Fear,27
10-03-2025,-3.438690234,16811790.68,2911,Extreme Fear,20
11-03-2025,-23.39644828,14016952.09,3286,Extreme Fear,24
12-03-2025,72.60735489,18618139.15,3968,Fear,34
13-03-2025,14.67242294,3285591.22,962,Neutral,45
14-03-2025,31.0616109,8047187.16,2210,Fear,27
15-03-2025,301.5119715,2355749.54,261,Neutral,46
16-03-2025,-14.92630858,10187921.51,530,Fear,30
17-03-2025,28.43902882,3592895.05,920,Fear,32
18-03-2025,86.71797221,4050655.47,834,Fear,34
19-03-2025,18.22250766,4598813.57,1612,Fear,32
20-03-2025,13.29034946,1652257.93,771,Neutral,49
21-03-2025,9.958840077,2543903.39,698,Fear,31
22-03-2025,23.36174814,971809.42,535,Fear,32
23-03-2025,31.42599907,2593519.67,447,Fear,30
24-03-2025,105.0428056,3017587.05,1027,Neutral,45
25-03-2025,40.49419315,5372519.77,791,Neutral,46
26-03-2025,5.094186791,7597754.37,3102,Neutral,47
27-03-2025,74.93676334,3240279.46,785,Fear,40
28-03-2025,29.30931227,1483092.61,728,Fear,44
29-03-2025,6.388000492,3668151.83,1894,Fear,26
30-03-2025,27.8083013,2850874.96,568,Fear,32
31-03-2025,14.09734254,2164772.47,495,Fear,34
01-04-2025,-11.47219918,704445.19,192,Fear,34
02-04-2025,187.9300566,3867930.6,1076,Fear,44
03-04-2025,-1.353524757,8670233.15,1748,Fear,25
04-04-2025,-20.05949603,3835545.73,1272,Fear,28
05-04-2025,99.74260475,1267564.22,360,Fear,30
06-04-2025,44.89832946,3551252.06,1048,Fear,34
07-04-2025,12.26985441,14460253.14,2814,Extreme Fear,23
08-04-2025,37.00890222,8869391.4,943,Extreme Fear,24
09-04-2025,10.86978694,28556806.47,3967,Extreme Fear,18
10-04-2025,74.40612236,28741953.29,2127,Fear,39
11-04-2025,115.3343787,11319327.07,1096,Fear,25
12-04-2025,194.6039329,55914617.49,2109,Fear,43
13-04-2025,36.86299888,14171154.79,1321,Neutral,45
14-04-2025,51.32634052,13079972.98,890,Fear,31
15-04-2025,63.9767518,20752168.24,1131,Fear,38
16-04-2025,36.46251882,36502715.9,1608,Fear,29
17-04-2025,5.264713759,2604551.51,1031,Fear,30
18-04-2025,2.576771248,24610650.46,1894,Fear,33
19-04-2025,25.82576364,32706462.71,2786,Fear,32
20-04-2025,12.64396667,12126094.05,1982,Fear,37
21-04-2025,20.00539459,42104054.84,1718,Fear,39
22-04-2025,19.56396384,33753625.24,2998,Neutral,47
23-04-2025,-68.03380837,30682443.79,6159,Greed,72
24-04-2025,22.71702328,35088918.64,2232,Greed,63
25-04-2025,12.23161476,27749455.78,1653,Greed,60
26-04-2025,-3.647881469,11948127.77,1131,Greed,65
27-04-2025,8.018004356,487537.69,337,Greed,61
28-04-2025,26.76346175,26124921.49,1379,Neutral,54
29-04-2025,56.06313572,34089511.66,2243,Greed,60
30-04-2025,12.58202809,12693878.85,1113,Greed,56
01-05-2025,44.33888561,10720240.52,1230,Neutral,53
